iteration;car;pt;walk
0;0.7818095351325645;0.1888360480323386;0.029354416835096896
1;0.7708714778266555;0.19126738794435857;0.03786113422898585
2;0.7601355367970515;0.19358578052550232;0.046278682677446205
3;0.7499702770181904;0.19546427297586494;0.054565450005944593
4;0.7402211389846629;0.19701581262632267;0.06276304838901439
5;0.7304244441802401;0.19869218880038045;0.07088336701937939
6;0.7215669956009987;0.20035073118535252;0.07808227321364879
7;0.7118535251456426;0.20244917370110568;0.08569730115325169
8;0.7039234335988587;0.2033111401735822;0.09276542622755915
9;0.6957436690048746;0.2047200095113542;0.09953632148377126
10;0.6875876827963381;0.20563547735108786;0.10677683985257401
11;0.6798715967185828;0.2073653548924028;0.11276304838901438
12;0.6718820592081798;0.20836404708120318;0.11975389371061705
13;0.6643680894067293;0.20962430150992747;0.12600760908334324
14;0.6570800142670312;0.21125906550945192;0.13166092022351683
15;0.650957080014267;0.21179407918202353;0.13724884080370942
16;0.6444655807870645;0.21291166329806205;0.1426227559148734
17;0.6393888954939959;0.21368446082510997;0.14692664368089406
18;0.6340982047318987;0.2142194744976816;0.15168232077041968
19;0.6284865057662584;0.21476043276661513;0.1567530614671264
20;0.6233741528950184;0.21541433836642493;0.16121150873855666
21;0.6185352514564261;0.21637141838069196;0.16509333016288194
22;0.6129354416835097;0.21770895256212103;0.16935560575436928
23;0.6076923076923076;0.21908809891808345;0.17321959338960885
24;0.6024967304720009;0.22066936155035072;0.1768339079776483
25;0.5978361669242659;0.22205445250267508;0.18010938057305909
26;0.5930210438711212;0.22358815836404708;0.18339079776483178
27;0.5891332778504339;0.22434906669837118;0.18651765545119486
28;0.5849245036262037;0.22607299964332422;0.189002496730472
29;0.5807870645583165;0.22755320413743907;0.19165973130424444
30;0.5773154202829628;0.22836761383902032;0.1943169658780169
31;0.5736297705385804;0.22930686006420165;0.19706336939721794
32;0.5701343478777791;0.23050172393294496;0.19936392818927595
33;0.566496254904292;0.23202354060159316;0.20148020449411486
34;0.5638449649268815;0.2324039947687552;0.20375104030436333
35;0.5605041017714897;0.23317679229580313;0.20631910593270716
36;0.5574366900487457;0.23389014385923196;0.20867316609202236
37;0.5543098323623826;0.23522767804066103;0.21046248959695638
38;0.5517655451194864;0.23592914041136606;0.21230531446914755
39;0.5494709309237903;0.23624420401854715;0.2142848650576626
40;0.5470693139935798;0.2373855665200333;0.21554511948638688
41;0.5444299132088931;0.23795624777077637;0.21761383902033052
42;0.541433836642492;0.2388301034359767;0.21973605992153133
43;0.5394721198430626;0.2395969563666627;0.22093092379027465
44;0.5370942812982998;0.24019736059921531;0.22270835810248485
45;0.5347996671026037;0.24105338247532992;0.22414695042206634
46;0.5324337177505647;0.24163000832243492;0.22593627392700036
47;0.5311734633218405;0.24233741528950184;0.2264891213886577
48;0.5294376411841636;0.24278920461300676;0.22777315420282962
49;0.5273927000356676;0.24316371418380692;0.2294435857805255
50;0.525383426465343;0.24393056711449293;0.23068600642016407
51;0.5237902746403519;0.24442991320889312;0.23177981215075497
52;0.521804779455475;0.24574961360123648;0.23244560694328856
53;0.5201284032814172;0.24638568541196051;0.23348591130662227
54;0.5179526810129592;0.24740815598620855;0.23463916300083223
55;0.5167875401260255;0.24697420045178933;0.23623825942218524
56;0.5148258233265961;0.24766971822613246;0.23750445844727144
57;0.5131970039234336;0.24792533586969445;0.23887766020687196
58;0.5114611817857567;0.2483176792295803;0.24022113898466294
59;0.5100582570443467;0.24871002258946617;0.24123172036618715
60;0.508893116157413;0.24920342408750445;0.24190345975508262
61;0.5078944239686125;0.2495006539055998;0.24260492212578766
62;0.5059683747473547;0.2502258946617525;0.2438057305908929
63;0.5041255498751634;0.2511770300796576;0.24469742004517894
64;0.5029841873736773;0.25121864225419094;0.24579717037213172
65;0.5017714897158483;0.2516942099631435;0.2465343003210082
66;0.5008203542979431;0.25164070859588633;0.2475389371061705
67;0.49916775650933304;0.25241945071929617;0.24841279277137082
68;0.4974794911425514;0.2529722981809535;0.24954821067649507
69;0.49589822851028414;0.25360242539531563;0.25049934609440017
70;0.4944834145761503;0.2537213173225538;0.25179526810129593
71;0.4939840684817501;0.2543395553441921;0.2516763761740578
72;0.49302104387112117;0.25498751634764;0.25199143978123884
73;0.4916300083224349;0.25554036380929734;0.25282962786826774
74;0.49141600285340625;0.2562121031981928;0.2523718939484009
75;0.491689454286054;0.25570681250743077;0.2526037332065153
76;0.4910593270716918;0.25588515039828796;0.2530555225300202
77;0.4895375104030436;0.2563488289145167;0.2541136606824397
78;0.48922839139222446;0.25637855189632625;0.2543930567114493
79;0.48888360480323384;0.2565271668053739;0.2545892283913922
80;0.4888241588396148;0.2565985019617168;0.25457733919866843
81;0.4878254666508144;0.2563726072999643;0.25580192604922125
82;0.4866246581857092;0.25722268457971703;0.25615265723457376
83;0.48607775532041375;0.25672333848531687;0.2571989061942694
84;0.4856854119605279;0.2573356319105933;0.25697895612887883
85;0.484270598026394;0.2579479253358697;0.2577814766377363
86;0.4833907977648318;0.2590417310664606;0.25756747116870765
87;0.48233265961241234;0.2594697420045179;0.25819759838306977
88;0.4820829865652122;0.25907739864463203;0.25883961479015577
89;0.48185709190345977;0.25927951492093687;0.25886339317560336
90;0.48132207823088813;0.2600760908334324;0.25860183093567946
91;0.48051361312566876;0.26078944239686125;0.25869694447747
92;0.48095351325644986;0.2607299964332422;0.25831649031030796
93;0.4802282725002972;0.2614849601712044;0.25828676732849837
94;0.4797051480204494;0.26190702651289977;0.2583878254666508
95;0.4793603614314588;0.26171679942931875;0.2589228391392224
96;0.47864700986802994;0.26240042801093805;0.25895256212103196
97;0.47804066103911547;0.26299488764712875;0.2589644513137558
98;0.47794554749732493;0.263298062061586;0.25875639044108906
99;0.4782546665081441;0.26333967423611937;0.25840565925573655
100;0.4779217691118773;0.26270954702175725;0.25936868386636547
